Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
30 Charlton Street,New York,10014,44256,1602.590928,213458.1,0,277.4,0,2028,40.727052,-74.004524
251 West 71st Street,New York,10023,33600,579.3526908,108270.5,0,198.1,0,1015.9,40.778564,-73.983582
312 East 90th Street,New York,10128,28041,640.8466032,135519.2,0,168.1,0,1032.3,40.780195,-73.94933
415-419 East 73rd Street,New York,10021,51411,925.8311891,293270.3,0,284.5,0,3213.5,40.768255,-73.954935
399 East 78th Street,New York,10075,25810,18476.07846,265841.8,0,165.1,0,1889.5,40.771524,-73.952846
1 Christopher Street,New York,10014,102354,55498.42984,570490.6,0,512.1,0,4825.5,40.734065,-73.999762
353 East 83rd Street,New York,10028,267771,5476.196009,1457162.8,0,890.4,0,11169.7,40.775412,-73.951929
1470 First Avenue,New York,10075,55462,9568.76735,478295.3,0,347,0,3706.6,40.770703,-73.953871
301 East 73rd Street,New York,10021,58480,1021.400009,335474,0,412,0,2335.4,40.769341,-73.957504
160 Broadway,Manhattan,10038,150000,7559.76672,1116031.7,0,706.9,0,Not Available,40.709493,-74.01024
507 Osborn Street,Brooklyn,11212,56505,Not Available,199375.9,0,50.2,0,38.9,40.659306,-73.906145
101-32 101st Street,Ozone Park,11416,47840,9618.55111,551826.3,0,190,0,140.6,40.68517,-73.841456
75-31 150 St,Flushing,11367,165240,22823.38724,1258728.2,0,438.1,0,351.6,40.724511,-73.815747
230 W 125 St,New York,10027,144805,65728.30372,3315130.1,0,1183.7,0,2261.4,40.809342,-73.949217
141-47 71st Ave,Flushing,11367,38740,16628.07565,591865.2,0,237.3,0,785.5,40.727652,-73.823604
2002 Avenue J,Brooklyn,11230,41922,0,289691.6,0,72.9,0,107.2,40.625742,-73.956223
1214 Avenue I,Brooklyn,11230,45900,31024.00204,118510.2,0,194.6,0,4552.6,40.627282,-73.964393
1374 Ocean Avenue,Brooklyn,11230,54060,30221.99786,123400.6,0,191.6,0,2706,40.62874,-73.956978
155 West 81st Street,New York,10024,63721,54876.5248,238520.9,0,351.5,0,7648.4,40.783904,-73.976048
408 West 34th Street,New York,10001,46500,31234.32549,365926.9,0,258,0,2369.8,40.753555,-73.99673
30 West 181st Street,Bronx,10453,34950,43548.4939,153878.3,0,270,0,Not Available,40.856231,-73.906833
425 BAY STREET,STATEN ISLAND,10304,30500,Not Available,2000799.7,0,503.7,0,870,40.631797,-74.076047
160 West End Avenue,New York,10023,470659,11860.56868,3164242.4,0,2146.1,0,18053.1,40.776193,-73.984984
90 Morton Street,New York,10014,122114,41343.17205,1213403.3,0,525.1,0,2906.9,40.73104,-74.007819
201 East 17th Street,Manhattan,10003,231220,6366.34846,1756110.5,0,1029.1,0,6366.6,40.735052,-73.985411
18 west 48th street,New York,10036,147038,38749.32772,1933751.2,0,692.7,0,6717.5,40.757626,-73.978942
40 Broad St,New York,10004,236392,13144.89808,3312082.5,0,1632.5,0,19589.3,40.706021,-74.011332
350 West 71st Street Condo,NY,10023,66381,13095.09476,332066.5,0,153.2,0,734.6,40.779506,-73.985907
152 Elizabeth St,New York,10012,26788,17830.50368,406555,0,197.1,0,1300.9,40.720352,-73.995065
75 Wall Street,New York,10005,481867,21791.41512,6438697,0,3043.4,0,32524.6,40.705486,-74.007874
1049 Fifth Avenue,New York,10028,147067,62399.96847,1738112,0,769,0,7300.8,40.781149,-73.959923
200 East 57th Street,Manhattan,10022,374277,82414.8109,2484935.8,0,1606.7,0,11017.3,40.760066,-73.967112
100 UN Plaza,New York,10017,468019,6165.036373,2845238.3,0,2545.8,0,20426.3,40.753164,-73.968325
